Glamorgan first innings forfeited and 273-5 ( H. Morris	S-ORG O O O O O O B-PER E-PER
Wolf Point MT 4.41 dn .10 --- --- --- ---	B-LOC E-LOC S-LOC O O O O O O O
BOSTON 1996-08-27	S-LOC O
IMOLA , Italy 1996-08-30	S-LOC O S-LOC O
Derek Ryan ( Ireland ) beat Paul Johnson ( England ) 10-15 15-5 12-15 15-12 15-11	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O
LONDON 3,907.5 +16.4 3,907.5 3,632.3	S-LOC O O O O
6 - Andre Agassi ( U.S. ) beat Leander Paes ( India ) 3-6 6-4 6-1 6-0	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O
PKK guerrillas would accompany the soldiers , captured last spring in one of Turkey 's frequent cross-border drives , until they could be handed over , he said .	S-ORG O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O
pro-baseball games played on Wednesday .	O O O O O O
In Bistrita : Gloria Bistrita ( Romania ) 2 Valletta ( Malta ) 1	O S-LOC O B-ORG E-ORG O S-LOC O O S-LOC O S-LOC O O
With 307 days to go before the British colony reverts to China , the Hong Kong media focused mainly on domestic issues concerning alleged pressure on a judge , cross straights relations and the democratic lobby 's relationship with Beijing .	O O O O O O O S-MISC O O O S-LOC O O B-LOC E-LOC O O O O O O O O O O O O O O O O O O O O O O O S-LOC O
The Supreme Court ruled that a judicial hearing contesting the ban would be heard on September 11 , three days before the nomination period for the Selection Committee closes .	O B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O B-ORG E-ORG O O
All three clocked the same time of five hours 51 minutes , 52 seconds .	O O O O O O O O O O O O O O O
Leslie Gevirtz	B-PER E-PER
SYDNEY 1996-08-28	S-LOC O
Issuer : Birmingham Public Park & Rec .	O O B-LOC I-LOC I-LOC I-LOC E-LOC O
RKC Waalwijk 2 0 1 1 4 5 1	B-ORG E-ORG O O O O O O O
CRICKET - PAKISTAN BEAT ENGLAND BY NINE WICKETS IN THIRD TEST .	O O S-LOC O S-LOC O O O O O O O
Extras ( lb-11 w-1 nb-8 ) 20	O O O O O O O
But Christie did not announce his decision to run until the eve of the meeting when organisers also confirmed Johnson would take part .	O S-PER O O O O O O O O O O O O O O O O O S-PER O O O O
At a hotel convention here , the party associated with the Transcendental Meditation ( TM ) movement named physicist John Hagelin as its presidential nominee for the Nov. 5 election .	O O O O O O O O O O O B-MISC E-MISC O S-MISC O O O O B-PER E-PER O O O O O O O O O O
Natasha Zvereva ( Belarus ) beat Ai Sugiyama ( Japan ) 4-6 6-4 6-3	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
There will be no repeat of last year 's men 's final with eighth-ranked Andre Agassi landing in Sampras 's half of the draw .	O O O O O O O O O O O O O O B-PER E-PER O O S-PER O O O O O O
Leading first round	O O O
OFK Beograd 2 Mladost ( BJ ) 2	B-ORG E-ORG O B-ORG I-ORG I-ORG E-ORG O
LONDON 1996-08-27	S-LOC O
In Houston , Jeff Bagwell homered and Donne Wall allowed one run over seven innings as the Houston Astros defeated the St. Louis Cardinals 4-1 .	O S-LOC O B-PER E-PER O O B-PER E-PER O O O O O O O O B-ORG E-ORG O O B-ORG I-ORG E-ORG O O
Chants from the crowd of " Death to the Arabs " , and bottle-throwing during the game marred the match which ended in a goalless draw .	O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O
Revised singles draw for the	O O O O O
NEW YORK 1996-08-28	B-LOC E-LOC O
59th-pen , Moeller 73rd , Heinrich 90th ) .	O O S-PER O O S-PER O O O
I never will , " his statement said .	O O O O O O O O O
$ 450,000 Toshiba Classic tennis tournament on Wednesday	O O B-MISC E-MISC O O O O
EL MUNDO	B-ORG E-ORG
Ijaz Ahmed c Irani b Mullally 48	B-PER E-PER O S-PER O S-PER O
Reduced concern over Hurricane Edouard prompted some of the early profit taking .	O O O O S-MISC O O O O O O O O
The race continues on Thursday afternoon with a 19.6 fourth-stage Doetinchem-Doetinchem time trial	O O O O O O O O O O S-MISC O O
Blackburn announced on Wednesday they and Dalglish had parted by mutual consent .	S-ORG O O O O O S-PER O O O O O O
, Inc. , said it won $ 1 million of Eau Claire , Wisc .	B-ORG E-ORG O O O O O O O O B-ORG E-ORG O B-LOC E-LOC
Reuters correspondent Lawrence Sheets , speaking from the nearby village of Alkhan-Yurt , said he had heard little from Grozny since Wednesday evening 's arrival of Russian security chief Alexander Lebed , who said he " came with peace " .	S-ORG O B-PER E-PER O O O O O O O S-LOC O O O O O O O S-LOC O O O O O O S-MISC O O B-PER E-PER O O O O O O O O O O
CHICAGO 1996-08-29	S-LOC O
Attendance : 8,000	O O O
SBC Warburg issued an update on the property sector on Thursday , saying that most of the predictions it made at the start of the year were being realised .	B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Barbara Rittner ( Germany ) beat 13 - Brenda Schultz-McCarthy (	B-PER E-PER O S-LOC O O O O B-PER E-PER O
Six months to September 30 , 1996	O O O O O O O
Wales - John Hartson ( 12th , 56th and 83rd minutes ) , Scott Young ( 24th )	S-LOC O B-PER E-PER O O O O O O O O O B-PER E-PER O O O
A black church near Camden , Arkansas , about 100 miles ( 161 kms ) south of Little Rock , burned in July , but federal agents have not determined the cause .	O O O O S-LOC O S-LOC O O O O O O O O O O B-LOC E-LOC O O O O O O O O O O O O O O
Ethiopia win 4-2 on penalties	S-LOC O O O O
More than 16,000 application forms for places on the Selection Committee have been handed out since the nomination period opened .	O O O O O O O O O B-ORG E-ORG O O O O O O O O O O
Midfielders - Jose Barroso , Luis Figo , Rui Barros , Rui Costa , Oceano Cruz , Ricardo Sa Pinto .	O O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER I-PER E-PER O
- UK / CONT	O S-LOC O O
Blind , who played in the 1990 World Cup and the 1992 European championship , was capped 42 times for the Netherlands .	S-PER O O O O O B-MISC I-MISC E-MISC O O B-MISC I-MISC E-MISC O O O O O O O S-LOC O
The EU 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .	O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O
Olympic silver medallist Brigita Bukovec of Slovenia could finish only fifth in the race in 12.95 .	S-MISC O O B-PER E-PER O S-LOC O O O O O O O O O O
" Extradition is not on the government 's legislative agenda , " he told reporters on Tuesday .	O O O O O O O O O O O O O O O O O O
Dutch coach Guus Hiddink called in Feyenoord midfielder Giovanni van Bronckhorst and Vitesse defender Ferdy Vierklau for Cocu and Veldman , but did not name a replacement for midfielder Witschge .	S-MISC O B-PER E-PER O O S-ORG O B-PER I-PER E-PER O S-ORG O B-PER E-PER O S-PER O S-PER O O O O O O O O O S-PER O
He said former PSG team mate David Ginola , who now plays for English premier league Newcastle , was influential in his move to Scotland .	O O O S-ORG O O B-PER E-PER O O O O O S-MISC O O S-ORG O O O O O O O S-LOC O
TALLINN 1996-08-27	S-LOC O
BERLIN 1996-08-28	S-LOC O
The leader of a junior partner in Japan 's three-party ruling coalition plans to resign to quell a political rebellion , party officials said on Wednesday .	O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O
Colombia 's peso closed lower at 1,044 after coming under pressure from dollar-buying by importers seeking to meet their commitments abroad , interbank dealers said .	S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O
Serbian officials have denied any abuses occurred during a 10-day registration period and the Bosnian Serbs , angry at the postponement of municipal elections , have threatened to hold local polls on their territory without the international community 's blessing .	S-MISC O O O O O O O O O O O O O B-MISC E-MISC O O O O O O O O O O O O O O O O O O O O O O O O O
SPOT REFERENCE 24.90 DEM	O O O S-MISC
An estimated 50,000 Algerians and more than 110 foreigners have been killed in Algeria 's violence pitting Moslem rebels against the Algerian government forces since early 1992 , when the authorities cancelled a general election in which radical Islamists took a commanding lead .	O O O S-MISC O O O O O O O O O S-LOC O O O S-MISC O O O S-MISC O O O O O O O O O O O O O O O O S-MISC O O O O O
It said moderating paper prices and solid orders for advertising at its Fox Broadcasting television network in the United States would also help boost profits in the 1996/97 year . "	O O O O O O O O O O O O B-ORG E-ORG O O O O B-LOC E-LOC O O O O O O O O O O O
Indonesia 's SBPUs auction results .	S-LOC O O O O O
" But Ukraine cannot be economically oriented on Russia , even though those in some circles push us to do that . "	O O S-LOC O O O O O S-LOC O O O O O O O O O O O O O O
7. Simon Crafar ( New Zealand ) Kawasaki 133	O B-PER E-PER O B-LOC E-LOC O S-ORG O
Instead on Friday he nominated all 23 Euro ' 96 veterans including Bremen 's Jens Todt , called up before the final by special UEFA dispensation .	O O O O O O O B-MISC I-MISC E-MISC O O S-ORG O B-PER E-PER O O O O O O O O S-ORG O O
It has also disrupted flights .	O O O O O O
ST LOUIS AT HOUSTON	B-ORG E-ORG O S-LOC
Political observers said the turn-out was disappointing for a city of about 12 million people , possibly indicating that the MQM , although a member of the opposition alliance , had not mobilised its supporters for the event .	O O O O O O O O O O O O O O O O O O O O S-ORG O O O O O O O O O O O O O O O O O O
Chonnam 0 1 1 5 6 1	S-ORG O O O O O O
These remarks gave the yen some backbone and the dollar failed to progress further .	O O O O O O O O O O O O O O O
Belgian police arrest detective in Dutroux affair .	S-MISC O O O O S-PER O O
SEOUL 1996-08-27	S-LOC O
W L PCT GB	O O O O
MINNESOTA 65 65 .500 12	S-ORG O O O O
Sayed Salahuddin	B-PER E-PER
Thousands of Moslem refugees denounced Bosnia 's elections as a farce on Sunday because Serb incomers would be able to vote in their old home town , cementing partition of the country .	O O S-MISC O O S-LOC O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O
NAC Breda 1 ( Abdellaoui 20th penalty ) NEC Nijmegen 1 ( Graef 36th ) .	B-ORG E-ORG O O S-PER O O O B-ORG E-ORG O O S-PER O O O
LONDON 1996-08-23	S-LOC O
CINCINNATI 62 62 .500 4 1/2	S-ORG O O O O O
-- Chicago newsdesk 312 408-8787	O S-LOC O O O
Men 's javelin	O O O
Anyang 0 3 1 6 9 3	S-ORG O O O O O O
Anton Ferreira	B-PER E-PER
Lillestrom 19 9 5 5 38 29 32	S-ORG O O O O O O O
It 's too late , Mr. President , " Dole told an outdoor crowd of several hundred at a private religious school .	O O O O O O O O O S-PER O O O O O O O O O O O O O
1. Takuma Aoki ( Japan ) Honda 38:18.759	O B-PER E-PER O S-LOC O S-ORG O
9. Robbie McEwen ( Australia ) Rabobank	O B-PER E-PER O S-LOC O S-ORG
Iliescu 's Party of Social Democracy , the senior coalition partner , immediately dismissed the National Unity Party ( PUNR ) demand as crude electioneering .	S-PER O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O B-ORG I-ORG E-ORG O S-ORG O O O O O O
Summary of Dutch first division soccer match played on Thursday :	O O S-MISC O O O O O O O O
Finland beat the Czech Republic	S-LOC O O B-LOC E-LOC
Quarter-finals	O
Puerto Rico girl has surgery for hairy face .	B-LOC E-LOC O O O O O O O
U.N. police , relief workers and NATO officers have reported a rise in political violence across Bosnia in the run-up to the September 14 elections .	S-ORG O O O O O S-ORG O O O O O O O O O S-LOC O O O O O O O O O
The back-to-back wins vault Ferrigato from sixth to second in the overall World Cup rankings with 112 points but Museeuw continues to hold a commanding lead with 162 points after eight of the 11 rounds .	O O O O S-PER O O O O O O O B-MISC E-MISC O O O O O S-PER O O O O O O O O O O O O O O O O
Just hours before Wednesday 's shooting , three hand grenades were thrown at a police station in Celopek .	O O O O O O O O O O O O O O O O O S-LOC O
He said no new date had been set yet .	O O O O O O O O O O
*Note - OB and Lotte played two games .	O O S-ORG O S-PER O O O O
PPI ( pct ) June +0.7 m / m;+21.5yr / yr ( May +1.7;+22.0 )	O O O O O O O O O O O O O O O
" If we follow this we 'll be able to sell 10 million tonnes of grain by the year 2000 , " Borkus said .	O O O O O O O O O O O O O O O O O O O O O O S-PER O O
BRUSSELS 1996-08-22	S-LOC O
Guingamp 3 1 1 1 2 2 4	S-ORG O O O O O O O
Hot laminate production was 349,000 tonnes , 3.2 percent up from July 1995 and 0.8 percent up from June .	O O O O O O O O O O O O O O O O O O O O
Provision of overland transport services for material and equipment for European Commission delegations in European Third Countries and in the New Independent States ( NIS ) Contract notice No TRA / 96 / 003 / IAE-3 - Open procedure ( 96 / C 251/08 )	O O O O O O O O O O B-ORG E-ORG O O B-MISC I-MISC E-MISC O O O B-MISC I-MISC E-MISC O S-MISC O O O O O O O O O O O O O O O O O O O O
rugby league matches on Saturday :	O O O O O O
An ABC News poll released on Tuesday showed President Bill Clinton 's lead over Republican challenger Bob Dole stretching to 15 points in advance of the Nov. 5 election .	O B-ORG E-ORG O O O O O O B-PER E-PER O O O S-MISC O B-PER E-PER O O O O O O O O O O O O
Yorkshire captain David Byas completed his third Sunday league century as his side swept clear at the top of the table , reaching a career best 111 not out against Lancashire .	S-ORG O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O S-ORG O
Scorers :	O O
An orthopedic surgeon was given permission by the child 's parents and the hospital to keep the foot for research and educational purposes .	O O O O O O O O O O O O O O O O O O O O O O O O
THE SIMEX Brent market keeps to the trading schedule of the International Petroleum Exchange ( IPE ) in London , which is closed for a British bank holiday .	O B-ORG E-ORG O O O O O O O O B-ORG I-ORG E-ORG O S-ORG O O S-LOC O O O O O O S-MISC O O O
An Iraqi Kurdish group on Wednesday said Iraq was massing troops near Kurdish regions in the north , where a U.S.-led allied air force protects the local population against attacks from Baghdad .	O B-MISC E-MISC O O O O S-LOC O O O O S-MISC O O O O O O O S-MISC O O O O O O O O O O S-LOC O
Latest M4 , currency reserves , industrial production data are provisional .	O O O O O O O O O O O O
The plugged wells have accounted for a dip of 30,000 barrels per day ( bpd ) in Heidrun output to roughly 220,000 bpd , according to the company 's Status Weekly newsletter .	O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O B-ORG E-ORG O O
The devastating opening pair of Jayasuriya and Romesh Kaluwitharana shared a fine first wicket stand of 129 to the delight of the 25,000 fans .	O O O O O S-PER O B-PER E-PER O O O O O O O O O O O O O O O O
Portland sources said feed mixer demand was keeping pace with millfeed production and driving prices higher .	S-LOC O O O O O O O O O O O O O O O O
SOCCER - DISAPPOINTING AJAX SLUMP 2-0 AT HEERENVEEN .	O O O S-ORG O O O S-LOC O
If the third vote fails to give either Meri or Ruutel 68 votes , the parliamentary speaker will convene an electoral college of 101 MPs and 273 local goverment representatives to hold a new poll that could include new nominations .	O O O O O O O O S-PER O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
MONTREAL 70 59 .543 11	S-ORG O O O O
INDORE , India 1996-08-27	S-LOC O S-LOC O
The Australian government 's plans to slash its budget deficit should make a useful contribution to national savings , the Reserve Bank of Australia ( RBA ) said in its annual report .	O S-MISC O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG E-ORG O S-ORG O O O O O O O
It was his first win since defeating the St. Louis Cardinals on May 28th , 1994 when he was with the San Diego Padres .	O O O O O O O O B-ORG I-ORG E-ORG O O O O O O O O O O B-ORG I-ORG E-ORG O
RUGBY UNION - NEW ZEALAND RECALL MEHRTENS FOR FINAL TEST .	B-ORG E-ORG O B-LOC E-LOC O S-PER O O O O
3. Nastja Rysich ( germany ) 3.75	O B-PER E-PER O S-LOC O O
Israel plays down fears of war with Syria .	S-LOC O O O O O O S-LOC O
Tim Henman ( Britain ) beat Roberto Jabali ( Brazil ) 6-2 6-3 6-4	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
Scoreboard on the first day of the	O O O O O O O
Pittsburgh 8 HOUSTON 6	S-ORG O S-ORG O
SUZUKA , Japan 1996-08-25	S-LOC O S-LOC O
Six months to June 30	O O O O O
KIRKCALDY , Scotland 1996-08-27	S-LOC O S-LOC O
1. Tortelli 40 points	O S-PER O O
Thomson said : " I am leaving with my dignity and my pride intact , and that is very important to me .	S-PER O O O O O O O O O O O O O O O O O O O O O O
Under Newcombe 's leadership , Australia were relegated from the elite world group last year , the first time the 26-time Davis Cup winners had slipped from the top rank .	O S-PER O O O S-LOC O O O O O O O O O O O O O O O B-MISC E-MISC O O O O O O O O
Belenenses 2 Boavista 4	S-ORG O S-ORG O
Tunisia 's main opposition party on Saturday announced that it had been ousted from its headquarters building by a court decision for failing to pay the rent .	S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O
More hostages freed from hijacked Sudanese plane .	O O O O O S-MISC O O
Sudanese police have arrested three people trying to smuggle sewing machines and army clothing to Sudanese opposition groups in Eritrea , an official newspaper reported on Saturday .	S-MISC O O O O O O O O O O O O O O S-MISC O O O S-LOC O O O O O O O O
As we expected volume growth was quite good ...	O O O O O O O O O
FC Bohemians 3 0 1 2 1 4 1	B-ORG E-ORG O O O O O O O
BASEBALL - MAJOR LEAGUE STANDINGS AFTER WEDNESDAY 'S GAMES .	O O B-MISC E-MISC O O O O O O
The rival Kurdistan Democratic Party ( KDP ) , which accuses Iran of supporting the PUK , said on Thursday that its forces had halted an Iranian-backed attack by thousands of PUK fighters .	O O B-ORG I-ORG E-ORG O S-ORG O O O O S-LOC O O O S-ORG O O O O O O O O O O O O O O O S-ORG O O
Wednesday :	O O
number of shares	O O O
The pilot said several hijackers appeared to be placed around the plane .	O O O O O O O O O O O O O
Danish analysts recently estimated ISS Inc 's sale value at up to $ 118 million .	S-MISC O O O B-ORG E-ORG O O O O O O O O O O
LTTE spokesmen could not immediately be reached for comment , but Sri Lankan fishermen denied that Indians were being coerced into carrying refugees across the Palk Strait .	S-ORG O O O O O O O O O O B-MISC E-MISC O O O S-MISC O O O O O O O O B-LOC E-LOC O
A Seguin spokeswoman confirmed that no letter or call had yet been received .	O S-PER O O O O O O O O O O O O
41. Armenia 7.80	O S-LOC O
In France , you cannot be a film artist and a national politician at the same time .	O S-LOC O O O O O O O O O O O O O O O O
drawn , lost , winning percentage , games behind first place )	O O O O O O O O O O O O
The England cricket squad was announced on Sunday for the one-day international series against Pakistan starting on Thursday .	O S-LOC O O O O O O O O O O O O S-LOC O O O O
Gold ( ounce ) ..	O O O O O
The ministry declined to detail gestures the Nuremberg-based policemen had made at the August 13 function but added seven had been suspended from duty pending an internal inquiry .	O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O
Eva Tremila said other even more explicit photos were taken but it did not print them .	B-ORG E-ORG O O O O O O O O O O O O O O O
" The way the U.S. Open has seeded here , tampering with the ranking system , has tarnished the image and reputation of this U.S. Open in the players ' mind , and we think that is damaging to our sport , " Martin said .	O O O O B-MISC E-MISC O O O O O O O O O O O O O O O O O O B-MISC E-MISC O O O O O O O O O O O O O O O O O S-PER O O
Cup Winners ' Cup x-Cercle Brugge ( Belgium ) v Brann Bergen ( Norway )	B-MISC I-MISC I-MISC E-MISC B-ORG E-ORG O S-LOC O O B-ORG E-ORG O S-LOC O
He had been in charge for six months .	O O O O O O O O O
Wimbledon bad boy Jeff Tarango caught a break Monday when he advanced after the retirement of German Alex Radulescu due to heat exhaustion .	S-MISC O O B-PER E-PER O O O O O O O O O O O S-MISC B-PER E-PER O O O O O
Corporate America is planning major changes in employee compensation in the next few years , according to a recent study .	O S-LOC O O O O O O O O O O O O O O O O O O O
Sam Nelson 312-408-8721	B-PER E-PER O
In Chicago , Erik Hanson outdueled Alex Fernandez , and Jacob Brumfield drove in Otis Nixon with the game 's only run in the sixth inning as the Toronto Blue Jays blanked the White Sox 1-0 in a game shortened to six innings due to rain .	O S-LOC O B-PER E-PER O B-PER E-PER O O B-PER E-PER O O B-PER E-PER O O O O O O O O O O O O B-ORG I-ORG E-ORG O O B-ORG E-ORG O O O O O O O O O O O O
TOTAL 1,113,785 up 3.8	O O O O
Paris SG 1 Nantes 0	B-ORG E-ORG O S-ORG O
Mother Teresa turns 86 but still in danger .	B-PER E-PER O O O O O O O
Hasina , speaking to a group of engineers in Dhaka on Monday , accused the BNP of resorting to " terrorism " as part of its plan to create instability and chaos in the country .	S-PER O O O O O O O O S-LOC O O O O O S-ORG O O O O O O O O O O O O O O O O O O O O
" I do often hear on the industry circuit of tales where the company tenders at low margins and the demonstrations which follow means they are running the project at a loss . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
OAKLAND AT NEW YORK	S-ORG O B-LOC E-LOC
The fourth-seeded Spaniard , who is tackling the world class traffic of New York City as a warm-up by driving to the tennis centre for her matches , ran over France 's Nathalie Tauziat 6-1 6-3 on Wednesday to take her place in the third round .	O O S-MISC O O O O O O O O O B-LOC I-LOC E-LOC O O O O O O O O O O O O O O O S-LOC O B-PER E-PER O O O O O O O O O O O O O
These shares are subject to post-closing adjustments .	O O O O O O O O
The girl was taken to hospital .	O O O O O O O
1. Osmond Ezinwa ( Nigeria ) 10.06	O B-PER E-PER O S-LOC O O
Dealers said that the volume of longer-term government paper declined due to market nervousness .	O O O O O O O O O O O O O O O
- Irish exploration company Ivernia and its South African partner Minorco have received planning permission from the local county council for a major lead and zinc mine at Lisheen , County Tipperary .	O S-MISC O O S-ORG O O B-MISC E-MISC O S-ORG O O O O O O O O O O O O O O O O O S-LOC O B-LOC E-LOC O
74 Paul Stankowski , Costantino Rocca ( Italy )	O B-PER E-PER O B-PER E-PER O S-LOC O
" We joined the prayer to express our solidarity with her work for the cause of the poor and downtrodden , " said Nanda Gopal Bhattacharya , a communist minister in West Bengal .	O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER E-PER O O O O O B-LOC E-LOC O
- Hariri to step into the election battle with an incomplete list .	O S-PER O O O O O O O O O O O
GOLF - PLAYERS DIVIDED ON CART REQUEST FOR OLAZABAL .	O O O O O O O O S-PER O
Warrington 22 12 0 10 569 565 24	S-ORG O O O O O O O
The dollar was at 108.40 yen and 1.4765 marks compared with Tuesday 's European close of 107.78 yen and 1.4779 marks	O O O O O O O O O O O O O S-MISC O O O O O O O
Men 's singles	O O O
Dundee 2 Greenock Morton 1	S-ORG O B-ORG E-ORG O
Tamil Tiger rebels have sent 12 female suicide bombers to stage simultaneous attacks on President Chandrika Kumaratunga 's motorcade in Colombo .	B-ORG E-ORG O O O O O O O O O O O O O B-PER E-PER O O O S-LOC O
TENNIS - CHANG , WASHINGTON ADVANCE , TWO WOMEN 'S SEEDS FALL .	O O S-PER O S-LOC O O O O O O O O
National Bank of Hungary ( NBH ) said on Friday .	B-ORG I-ORG I-ORG E-ORG O S-ORG O O O O O
9/16 - Luo Yigang ( China ) beat Jason Wong ( Malaysia ) 15-5 15-6	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
" We have a suitable exchange rate .	O O O O O O O O
Burnley 1 Shrewsbury 3	S-ORG O S-ORG O
Ally McCoist is also in great scoring form at the moment . "	B-PER E-PER O O O O O O O O O O O
10/01 / 1998C 125M 4.50 4.20	O O O O O O
Sunday after 23 special stages in the 1,000 Lakes Rally , sixth	O O O O O O O B-MISC I-MISC E-MISC O O
4. Theybers 25	O S-PER O
The area is littered with caves and police believed Fox has a hideout which has enabled him to evade capture .	O O O O O O O O O S-PER O O O O O O O O O O O
----------------------------------	O
8 equal .	O O O
At Weston-super-Mare : Match abandoned as a draw - rain .	O S-LOC O O O O O O O O O
Cesena 3 Roma 1	S-ORG O S-ORG O
Brown 's 56 not out , containing eight fours and three sixes , lifted Surrey to 128 for four on a rain-curtailed day .	S-PER O O O O O O O O O O O O O S-ORG O O O O O O O O O
284 D.A. Weibring 73 69 74 68 , Tim Herron 70 67 75 72 , Mark	O B-PER E-PER O O O O O B-PER E-PER O O O O O S-PER
" At least two of them were sexually molested , " Black said .	O O O O O O O O O O O S-PER O O
Michael Tebbutt ( Australia ) vs. Richey Reneberg ( U.S. )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
In Detroit , Jim Thome 's solo homer in the ninth inning snapped a tie and Charles Nagy pitched a three-hitter for his first win in over a month , leading the Cleveland Indians to their 11th straight victory over the Detroit Tigers , 2-1 .	O S-LOC O B-PER E-PER O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O B-ORG E-ORG O O O O O O O B-ORG E-ORG O O O
Swiss arrest Rwandan on genocide suspicion .	S-MISC O S-MISC O O O O
" It was confusing , they had no experience of voting , many of the refugees are only semi-literate and none of them knew anything about the candidates , " he said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Molenbeek 4 1 2 1 4 5 5	S-ORG O O O O O O O
Leeds 3 1 1 1 4 5 4	S-ORG O O O O O O O
11. Gyor 3 1 1 1 3 5 4	O S-ORG O O O O O O O
The suspicion , however , lingers in Stich 's mind that U.S. Open officials did tamper with the seeding process in order to benefit homegrown players .	O O O O O O O S-PER O O O B-MISC E-MISC O O O O O O O O O O O O O O
In 1994 a British television documentary called the myth around Mother Teresa a mixture of " hyperbole and credulity " .	O O O S-MISC O O O O O O B-PER E-PER O O O O O O O O O
3. Alina Astafei ( Germany ) 1.97	O B-PER E-PER O S-LOC O O
13. Paul Lawrie 207,990	O B-PER E-PER O
SAN FRANCISCO 1 Philadelphia 0	B-ORG E-ORG O S-ORG O
Itar-Tass news agency said it provided for the disengagement of Russian and rebel forces in Chechnya .	S-ORG O O O O O O O O O S-MISC O O O O S-LOC O
The Yedioth Ahronoth daily reported that Prime Minister Benjamin Netanyahu , who has said he has no desire to hold talks with the Palestinian president , opposes the meeting due to be held this coming week .	O B-ORG E-ORG O O O O O B-PER E-PER O O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O
4. Elijah Maru ( Kenya ) 3:33.64	O B-PER E-PER O S-LOC O O
Over time he regained the power of speech , so much so that he was asked to address the opening night of the Democratic National Convention .	O O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC E-MISC O
They said the ERP , whose fighters first appeared wearing military fatigues and brandishing assault rifles in the southwestern state of Guerrero on June 28 , had a 23,000-strong membership , but this could not be confirmed independently .	O O O S-ORG O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O
Despite the current difficulties , however , analysts were convinced that Cofinec 's outlook was strong .	O O O O O O O O O O O S-ORG O O O O O
The quake took place a few minutes before the end of a welcoming ceremony at Juan Santamaria airport for Hashimoto , who was starting a three-hour visit as part of a Latin American tour .	O O O O O O O O O O O O O O O B-LOC E-LOC O O S-PER O O O O O O O O O O O B-MISC E-MISC O O
The paper said Baker declined to discuss the trip , but authorised an associate to confirm it took place and give an account of it .	O O O S-PER O O O O O O O O O O O O O O O O O O O O O O
Divisionn two	O O
LISTING LONDON DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / JP / FR	O S-LOC O O O O O O O S-LOC O S-LOC O S-LOC O S-LOC
Gazprom has also tightened the rules restricting shareholers ' rights to trade its shares .	S-ORG O O O O O O O O O O O O O O
At Northampton : Sussex 368-7 ( N. Lenham 145 , V. Drakes 59 not	O S-LOC O S-ORG O O B-PER E-PER O O B-PER E-PER O O
Zambian President Frederick Chiluba shuffled his cabinet on Wednesday to fill a vacancy left after the sacking of Legal Affairs Minister Remmy Mushota .	O O B-PER E-PER O O O O O O O O O O O O O O O O O B-PER E-PER O
-- London Newsroom , +44 171 542 8980	O B-ORG E-ORG O O O O O
2. Michelle Freeman ( Jamaica ) 12.77	O B-PER E-PER O S-LOC O O
" The year just gone was disappointing , but the outlook for the current year looks good , " First Pacific media analyst Lachlan Drummond said .	O O O O O O O O O O O O O O O O O O O B-ORG E-ORG O O B-PER E-PER O O
Scoreboard on the second day of	O O O O O O
Sale Amount : 6,310,000	O O O O
This visit will create a direct contact opportunity for the two parties to express their views , " spokesman Omer Akbel told a news briefing .	O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O O
Anne-Gaelle Sidot ( France ) beat Wang Shi-Ting ( Taiwan ) 6-4 3-6 6-3	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
LONDON 1996-08-29	S-LOC O
